title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,247693,
"Willy Wonka & the Chocolate Factory",movie,"Adventure, Comedy, Family",1971,tt0067992,7.8,236903,
"King Kong",movie,"Action, Adventure, Romance",2005,tt0360717,7.2,459161,
"Live Flesh",movie,Drama,1997,tt0118819,7.3,34760,
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,419339,
"Batman Begins",movie,"Action, Crime, Drama",2005,tt0372784,8.2,1644956,
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,3040472,
"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1231396,
"A River Runs Through It",movie,Drama,1992,tt0105265,7.2,67754,
"Terminator 3: Rise of the Machines",movie,"Action, Sci-Fi",2003,tt0181852,6.3,428165,
"Meet Joe Black",movie,"Drama, Fantasy, Romance",1998,tt0119643,7.2,282551,
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,377263,
"Rio Bravo",movie,Western,1959,tt0053221,8,70938,
"Swimming Pool",movie,"Crime, Drama, Mystery",2003,tt0324133,6.7,49976,
"Beverly Hills Cop III",movie,"Action, Comedy, Crime",1994,tt0109254,5.5,97471,
"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,32053,
"Bruce Almighty",movie,"Comedy, Fantasy",2003,tt0315327,6.8,452426,
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,503655,
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1118236,
"The Lost World: Jurassic Park",movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,458960,
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,352607,
"Once Upon a Time in the West",movie,"Drama, Western",1968,tt0064116,8.5,367767,
"Night on Earth",movie,"Comedy, Drama",1991,tt0102536,7.7,68722,
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,398908,
"Das Boot",movie,"Drama, War",1981,tt0082096,8.4,279005,
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,412469,
"A Fistful of Dollars",movie,"Drama, Western",1964,tt0058461,7.9,243706,
Chocolat,movie,"Drama, Romance",2000,tt0241303,7.2,206614,
"Basic Instinct",movie,"Drama, Mystery, Thriller",1992,tt0103772,7.1,231806,
"Driving Miss Daisy",movie,"Comedy, Drama",1989,tt0097239,7.3,121042,
"Summer in Berlin",movie,Drama,2005,tt0477877,6.9,3043,
8½,movie,Drama,1963,tt0056801,8,129176,
"The Pianist",movie,"Biography, Drama, Music",2002,tt0253474,8.5,967184,
"Schindler's List",movie,"Biography, Drama, History",1993,tt0108052,9,1520746,
"The Day After Tomorrow",movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,496620,
"La Dolce Vita",movie,"Comedy, Drama",1960,tt0053779,8,82492,
Sissi,movie,"Comedy, Drama, History",1955,tt0048624,7,10556,
"Sissi: The Young Empress",movie,"Drama, History",1956,tt0049762,6.6,7704,
"Sissi: The Fateful Years of an Empress",movie,"Drama, History, Romance",1957,tt0050974,6.6,6298,
"Erin Brockovich",movie,"Biography, Drama",2000,tt0195685,7.5,233983,
"As It Is in Heaven",movie,"Comedy, Drama, Music",2004,tt0382330,7.5,18722,
"My Own Private Idaho",movie,Drama,1991,tt0102494,6.9,64464,
"Stranger Than Paradise",movie,"Comedy, Drama",1984,tt0088184,7.4,42043,
Shaft,movie,"Action, Crime, Thriller",2000,tt0162650,6,83000,
