title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Eiga Kureyon Shinchan: Arashi o yobu! Ora to uchuu to purinsesu",movie,"Action, Adventure, Animation",2012,tt2368717,5.9,261,
"Crayon Shin-chan: Very Tasty! B-class Gourmet Survival!!",movie,"Adventure, Animation, Comedy",2013,tt2876906,6.6,465,
Sisterakas,movie,Comedy,2012,tt2590214,5.3,373,
"Verliefd op Ibiza",movie,"Comedy, Romance",2013,tt2388805,4.8,2858,
"To Hell with Hitler",movie,"Comedy, Musical, War",1940,tt0032699,6.4,387,
"Bless Me, Ultima",movie,"Biography, Drama, History",2012,tt1390398,6.4,1632,
Serena,movie,"Drama, History, Romance",2014,tt1247690,5.4,31340,
"We Not Naughty",movie,"Comedy, Drama",2012,tt2194416,5.6,134,
"Some People",movie,"Drama, Musical",1962,tt0056509,6.3,336,
"One Direction: This Is Us",movie,"Documentary, Music",2013,tt2515086,4.4,25391,
"Hor taew tak 3",movie,Comedy,2011,tt2664680,5.1,105,
"St. Peter's Umbrella",movie,"Comedy, Drama, Romance",1958,tt0052263,7.1,304,
Gumrah,movie,"Action, Crime, Drama",1993,tt0107060,6.1,1069,
"New World",movie,"Action, Crime, Drama",2013,tt2625030,7.5,27710,
"Loser Takes All",movie,Comedy,1956,tt0049451,5,212,
"The Priest's Children",movie,"Comedy, Drama",2013,tt2395421,6.8,4694,
"Scorpion in Love",movie,"Drama, Romance, Sport",2013,tt2378079,5.8,1265,
"Länger leben",movie,Comedy,2010,tt1571210,6.4,33,
"3096 Tage",movie,"Biography, Crime, Drama",2013,tt1667355,6.5,17660,
"A Friend in Need",movie,"Drama, Thriller",2010,tt7851834,4.6,14,
"Curse of Chucky",movie,"Horror, Thriller",2013,tt2230358,5.6,45804,
"Traffic Department",movie,"Crime, Drama",2012,tt2577150,7.3,5276,
"Long Live Freedom",movie,"Comedy, Drama",2013,tt2523600,6.9,4752,
"Legs of Gold",movie,"Comedy, Music, Sport",1958,tt0051646,5.5,162,
"The God of Wood",movie,Drama,2010,tt1511354,5.7,164,
"North of the Sun",movie,"Adventure, Documentary, Sport",2012,tt2486904,7.9,1134,
"Reaching for the Moon",movie,"Biography, Drama, History",2013,tt2217458,7,3685,
"Mystery Junction",movie,"Crime, Mystery, Thriller",1951,tt0043832,5.7,504,
"Från och med herr Gunnar Papphammar",movie,Comedy,1981,tt0082423,6.4,477,
Buddies,movie,"Adventure, Comedy, Drama",2012,tt1179259,6.5,1145,
"Ah Boys to Men",movie,Comedy,2012,tt2525596,6.1,622,
"Kai Po Che",movie,"Drama, Sport",2013,tt2213054,7.8,39424,
"Furious 7",movie,"Action, Thriller",2015,tt2820852,7.1,426993,
"Coming Forth by Day",movie,Drama,2012,tt2443734,6.4,299,
"All for Two",movie,"Comedy, Crime",2013,tt2188655,5.8,2340,
Julie,movie,Drama,2013,tt2619062,4.1,131,
"Billy and Buddy",movie,"Comedy, Family",2013,tt2538654,4.4,816,
"American Hustle",movie,"Crime, Drama",2013,tt1800241,7.2,509688,
"Company of Heroes",movie,"Action, War",2013,tt2555426,5,9115,
"Monica Z",movie,"Biography, Drama, Music",2013,tt2112206,6.8,4450,
"Will You Still Love Me Tomorrow?",movie,"Comedy, Drama, Romance",2013,tt2738050,6.7,656,
"Just Friends?",movie,"Drama, Musical, Romance",2009,tt1753995,6.7,731,KR
"Small Town Rivals",movie,Comedy,2007,tt1164666,5.7,166,
"Sound of Heimat - Deutschland singt",movie,Documentary,2012,tt2366218,7.3,69,
"Our Last Weekend",movie,"Drama, Horror, Mystery",2011,tt1783714,3,269,
Cycle,movie,"Animation, Mystery, Sci-Fi",2012,tt2251275,4,335,
Shackled,movie,"Horror, Mystery, Thriller",2012,tt2424752,6.2,280,
"Short Term 12",movie,Drama,2013,tt2370248,7.9,93732,
"In Defense of a Married Man",movie,"Crime, Drama",1990,tt0099396,5.5,289,
"The Short Game",movie,"Documentary, Sport",2013,tt2466830,7.3,1766,
"Flight of the Butterflies",movie,"Biography, Documentary, Drama",2012,tt2174750,7.2,575,
"A Walk Among the Tombstones",movie,"Action, Crime, Drama",2014,tt0365907,6.5,129838,
"The Tricyclist",movie,"Comedy, Sport",1957,tt0161013,5.3,271,
"Take Me High",movie,"Comedy, Musical, Romance",1973,tt0070194,4.7,308,
"Il principe abusivo",movie,Comedy,2013,tt2467480,5.3,1943,
1939,movie,"Biography, Drama, History",1989,tt0096737,6.1,1011,
"Asterix and Obelix: Mansion of the Gods",movie,"Adventure, Animation, Comedy",2014,tt3759416,6.9,16165,
"Sonja and the Bull",movie,"Comedy, Romance",2012,tt2249542,6.9,2482,
Maya,movie,"Drama, Mystery, Romance",1993,tt0137100,5.4,2461,
"The Butterfly's Dream",movie,"Biography, Drama, History",2013,tt2608224,7.6,25420,
"Brothers in Law",movie,Comedy,1957,tt0050214,6.4,485,
Frank,movie,"Comedy, Drama, Music",2014,tt1605717,6.9,83520,
"إتش دبور",movie,,2008,,,,
"Whatcha Wearin'?",movie,"Comedy, Romance",2012,tt2592336,6.8,2984,
Panihida,movie,"Drama, Family, History",2012,tt2076913,6.3,92,
"Postmark for Danger",movie,"Crime, Drama, Mystery",1955,tt0048507,6.4,760,
"A Luz do Tom",movie,Documentary,2013,tt2737624,6.5,49,
"Drinking Buddies",movie,"Comedy, Drama, Romance",2013,tt2265398,6.1,61743,
"Habibie & Ainun",movie,"Biography, Drama, History",2012,tt2589132,7.6,2407,
"An Ethics Lesson",movie,"Drama, Thriller",2013,tt2926238,5.6,262,
"Saheb Biwi Aur Gangster Returns",movie,"Action, Crime, Drama",2013,tt2362778,6.7,4185,
"Mutlu Aile Defteri",movie,Comedy,2013,tt2645130,6,2130,
"It Boy",movie,"Comedy, Romance",2013,tt2186812,6.3,12649,
"Tainá: The Origin",movie,"Adventure, Family, Fantasy",2011,tt1708510,6.1,103,
"Something Necessary",movie,Drama,2013,tt2400272,7,87,
"Punk in London",movie,"Documentary, Music",1977,tt0079763,6.8,568,
"Trouble Brewing",movie,"Action, Comedy, Crime",1939,tt0032059,6.3,296,
"The Other Shore: The Diana Nyad Story",movie,"Adventure, Biography, Documentary",2013,tt2459100,7.2,396,
"The Shooter",movie,"Crime, Drama, Thriller",2013,tt2381989,5.6,1873,
"Amiche da morire",movie,Comedy,2013,tt2343371,6.2,950,
"Cry, the Beloved Country",movie,Drama,1951,tt0043436,6.9,1048,
"Resident Evil: The Final Chapter",movie,"Action, Horror, Sci-Fi",2016,tt2592614,5.5,104760,
"Impossible Is Not French",movie,Comedy,1974,tt0071653,5,212,
"A Case of You",movie,"Comedy, Romance",2013,tt1817081,5.6,12486,
"The English Teacher",movie,"Comedy, Drama",2013,tt2055765,5.7,13417,
"The Pretty One",movie,"Comedy, Drama",2013,tt2140577,6.3,10579,
"Jane Got a Gun",movie,"Action, Crime, Drama",2015,tt2140037,5.9,24599,
"Europa Report",movie,"Drama, Mystery, Sci-Fi",2013,tt2051879,6.4,77506,
"The Kirishima Thing",movie,Drama,2012,tt2142797,7.2,2702,
"Folly to Be Wise",movie,"Comedy, Drama",1952,tt0044626,6.1,374,
"A Body in the Woods",movie,Thriller,1996,tt0115991,6.3,136,
"Sleepless Nights",movie,Documentary,2012,tt2730046,7.6,47,
"A Madea Christmas",movie,"Comedy, Drama, Romance",2013,tt2609758,5.1,7504,
"Home Run",movie,"Drama, Sport",2013,tt2051894,5.9,3456,
Remake,movie,Drama,2006,tt0453194,6.3,235,
"One Piece Film Z",movie,"Action, Adventure, Animation",2012,tt2375379,7.7,10605,
"Low Life",movie,"Action, Crime, Drama",2004,tt0403100,6,298,
"Panic in the Parlor",movie,Comedy,1956,tt0050818,6.3,423,
"Alan Partridge",movie,"Action, Comedy, Crime",2013,tt0469021,6.9,33513,
"Survive and Advance",movie,"Biography, Documentary, History",2013,tt2751904,8.5,1445,
"In Desert and Wilderness",movie,"Adventure, Family",2001,tt0260522,5.2,1030,
"Lucio Flavio",movie,"Crime, Drama",1977,tt0077878,7.4,984,
"Totally Personal",movie,"Biography, Documentary",2005,tt0457462,7.4,132,
"Tiger & Bunny the Movie: The Beginning",movie,"Action, Animation, Sci-Fi",2012,tt2507174,6.5,360,
"En dag skall gry",movie,"Drama, War",1944,tt0036737,5.8,92,
"Underground Rendezvous",movie,"Comedy, Drama, War",2007,tt6436514,6,94,
Countdown,movie,"Horror, Mystery, Thriller",2012,tt2603308,6.2,804,
"Welcome Mr. President",movie,Comedy,2013,tt2767948,6.2,3774,
"The Overture",movie,"Biography, Drama, History",2004,tt0415046,7.9,1090,
"Luna verde",movie,Drama,2010,tt1388438,5,123,
"The Great Beauty",movie,Drama,2013,tt2358891,7.7,102222,
Goddess,movie,"Comedy, Musical, Romance",2013,tt1860238,5.9,1539,
"Witching and Bitching",movie,"Action, Adventure, Comedy",2013,tt2404738,6.4,15863,
"The Flying Scotsman",movie,"Crime, Drama",1929,tt0019889,6.2,248,
"Terror Ship",movie,"Crime, Drama, Mystery",1954,tt0047568,5.8,275,
"El ciclo Dreyer",movie,"Drama, Romance",2006,tt0791108,4.6,80,
"They Came Together",movie,"Comedy, Romance",2014,tt2398249,5.6,25410,
"The Raid 2",movie,"Action, Crime, Thriller",2014,tt2265171,7.9,135618,
"Here's the Deal",movie,"Adventure, Comedy",2013,tt2190760,5.5,435,
"Les anonymes",movie,"Crime, Drama",2013,tt2199455,6.8,156,
"Fists of Legend",movie,Action,2013,tt2828840,6.8,1308,
Himmatwala,movie,"Action, Comedy, Drama",2013,tt2344678,1.8,9504,
"Muqaddar Ka Faisla",movie,"Action, Comedy, Drama",1987,tt0239682,5,96,
"Chashme Baddoor",movie,"Comedy, Drama",2013,tt2229848,5.4,5430,
Settai,movie,"Comedy, Crime",2013,tt2677816,4.6,632,
"T2 Trainspotting",movie,"Comedy, Crime, Drama",2017,tt2763304,7.1,137201,
"Shield of Straw",movie,"Action, Crime, Drama",2013,tt2347144,6.2,2790,
"Vehicle 19",movie,"Action, Thriller",2013,tt1911662,4.9,16227,
"Endless Horizon - Africa 3D",movie,Documentary,2013,,,,
"Kevin Hart: Let Me Explain",movie,"Comedy, Documentary",2013,tt2609912,6.7,9493,
"Malesh Ehna Benetbahdel",movie,Comedy,2005,tt2398182,5.9,507,
"Man on the Edge",movie,"Comedy, Crime, Drama",2013,tt2630028,6.2,346,
"Ip Man: The Final Fight",movie,"Action, Biography, Drama",2013,tt2495118,6.1,11706,
"As White as in Snow",movie,"Biography, Drama, Romance",2001,tt0200191,6.2,625,
"White as Milk, Red as Blood",movie,"Comedy, Drama",2013,tt2447934,6.1,1758,
"Dark Places",movie,"Crime, Drama, Mystery",2015,tt2402101,6.2,48972,
"The Unforgiven",movie,Drama,2005,tt0499274,6.8,403,
"I, Superbiker: Day of Reckoning",movie,"Documentary, Sport",2013,tt3075842,5.9,19,
"I'm Not Worthy of You",movie,"Comedy, Musical, Romance",1965,tt0059517,5.6,112,
"Best Before",movie,"Comedy, Drama",2013,tt2192794,5.1,772,
"Lock Up Your Daughters",movie,Comedy,1980,,,,
"The Contact",movie,Romance,1997,tt0140914,6.8,549,
"The Fun, the Luck & the Tycoon",movie,"Comedy, Romance",1990,tt0097619,6.1,338,
"Doraemon: Nobita and the Haunts of Evil",movie,"Adventure, Animation, Comedy",1982,tt4184350,6.8,546,
"All My Loving",movie,"Biography, Documentary, Music",1968,tt0814001,6.2,150,
"Think Like a Man Too",movie,"Comedy, Romance",2014,tt2239832,5.7,23673,
"The Letter",movie,"Drama, Romance",2004,tt0439650,7,167,
"Pee Mak",movie,"Comedy, Horror, Romance",2013,tt2776344,7.2,6966,
"Hands of Stone",movie,"Biography, Drama, Sport",2016,tt1781827,6.6,18162,
"A Haunted House 2",movie,"Comedy, Fantasy, Horror",2014,tt2828996,4.7,24568,
"Deliver Us from Evil",movie,"Crime, Horror, Mystery",2014,tt2377322,6.2,88683,
"Saint Young Men: The Movie",movie,"Animation, Comedy",2012,tt2431934,6.7,964,
"Super Salaryman",movie,"Comedy, Drama",2012,tt2754800,6.5,149,
"It Takes a Man and a Woman",movie,"Comedy, Drama, Romance",2013,tt2816740,6.8,435,
"The Birch-Tree Meadow",movie,Drama,2003,tt0354808,6.5,261,
"My Stolen Revolution",movie,Documentary,2013,tt2673456,7,138,
"Yeh Jawaani Hai Deewani",movie,"Comedy, Drama, Musical",2013,tt2178470,7.3,55044,
"The Interrupted Journey",movie,"Crime, Drama, Mystery",1949,tt0041511,6.7,688,
"[REC] 4: Apocalypse",movie,"Action, Horror, Thriller",2014,tt1649443,5.3,21399,
"Videograms of a Revolution",movie,"Documentary, History, War",1992,tt0108489,8,714,
"Hai-Alarm am Müggelsee",movie,Comedy,2013,tt2352394,5.9,669,
"Love Is Not What It Used to Be",movie,"Comedy, Drama",2013,tt2544864,5,195,
Stockholm,movie,"Drama, Romance",2013,tt2380207,6.8,5295,
"Long Ago, Tomorrow",movie,"Drama, Romance",1971,tt0067357,6.9,713,
Swearnet,movie,Comedy,2014,tt2380564,6,3224,
"Daily Lives of High School Boys",movie,"Comedy, Romance",2013,tt2851298,5.3,183,
"Boulevard des assassins",movie,"Crime, Drama, Mystery",1982,tt0083684,5.6,209,
"Love, etc.",movie,"Comedy, Drama, Romance",1996,tt0116932,6.2,775,
"Alma gitana",movie,"Drama, Romance",1996,tt0115519,5.5,128,
"A Liberal Passion",movie,Comedy,2013,tt2882850,5.2,677,
"22 Jump Street",movie,"Action, Comedy, Crime",2014,tt2294449,7,422795,
"The Married Couples",movie,Comedy,1981,tt7085732,8,724,
"¡Asu Mare!",movie,"Biography, Comedy",2013,tt2842470,6.4,905,
"Shed No Tears",movie,"Drama, Music, Romance",2013,tt2429292,6.9,5812,
"Blonde Fist",movie,"Action, Drama, Sport",1991,tt0101473,4.6,305,
"Finding Mr. Right",movie,"Comedy, Romance",2013,tt2169322,6.5,2886,
"The Legend of Hercules",movie,"Action, Adventure, Fantasy",2014,tt1043726,4.3,57098,
Entourage,movie,"Comedy, Drama",2015,tt1674771,6.5,84356,
"Doraemon: Nobita's Dorabian Nights",movie,"Adventure, Animation, Comedy",1991,tt1147508,7.3,1237,
"León and Olvido",movie,Drama,2004,tt0414225,6.3,220,
"Star Trek Beyond",movie,"Action, Adventure, Sci-Fi",2016,tt2660888,7,264702,
"City Hunter: Bay City Wars",movie,"Action, Animation, Comedy",1990,tt0099272,6.8,408,
"City Hunter: Million Dollar Conspiracy",movie,"Action, Animation, Comedy",1990,tt0159362,7,339,
"My Paparotti",movie,"Biography, Comedy, Drama",2013,tt2958712,7.1,639,
"How to Use Guys with Secret Tips",movie,"Comedy, Romance",2013,tt2934568,6.3,602,
"Yo, 'El Vaquilla'",movie,"Action, Biography, Drama",1985,tt0090354,5.3,578,
Frágil,movie,"Comedy, Drama, Romance",2004,tt0438042,5.7,453,
Gippi,movie,"Comedy, Drama",2013,tt2814372,5.6,921,
"Edward and Caroline",movie,"Comedy, Drama, Romance",1951,tt0042429,6.9,785,
"Främmande hamn",movie,Drama,1948,tt0040376,5.7,105,
"Theeya Velai Seiyyanum Kumaru",movie,Comedy,2013,tt2889234,6.2,1709,
"Hôtel Normandy",movie,"Comedy, Romance",2013,tt2644800,4.7,346,
"American Sniper",movie,"Action, Biography, Drama",2014,tt2179136,7.3,550164,
"Carbon Copy",movie,"Action, Crime, Drama",1970,tt0065080,5.6,239,
"Bombay Talkies",movie,"Crime, Drama",2013,tt2797242,6.6,5900,
"L'homme pressé",movie,Drama,1977,tt0076154,6.4,1087,
"My Sweet Orange Tree",movie,"Drama, Family",2012,tt2402186,7.2,1614,
"The Galloping Major",movie,Comedy,1951,tt0043574,6.2,268,
"Sorrow and Joy",movie,Drama,2013,tt3089978,7,1334,
"Women in Rock",movie,"Documentary, Music",1980,tt0369461,5.6,192,
"Don Juan",movie,"Adventure, Comedy, Romance",1956,tt0048946,5.9,177,
"Marta's Suitcase",movie,"Crime, Documentary",2013,tt2577646,6.7,26,
Delphinsommer,movie,Drama,2004,tt0424033,7,316,
Ghanchakkar,movie,"Comedy, Crime, Thriller",2013,tt2246724,5.9,5413,
"Dom Hemingway",movie,"Comedy, Crime, Drama",2013,tt2402105,6.1,27949,
"No Escape",movie,"Action, Thriller",2015,tt1781922,6.7,96346,
"The Forgotten Kingdom",movie,Drama,2013,tt1937504,7.1,335,
"Osuofia in London",movie,"Comedy, Drama",2003,tt0493828,6.6,129,
"Doraemon: Nobita in the Wan-Nyan Spacetime Odyssey",movie,"Action, Adventure, Animation",2004,tt1147516,7,786,
"The Captain of Nakara",movie,"Comedy, Romance",2012,tt1579251,7.9,60,
"Osuofia in London 2",movie,Comedy,2004,tt0493829,6.8,27,
"Ah Boys to Men II",movie,Comedy,2013,tt2910300,6.2,330,
"Rita, the American Girl",movie,"Comedy, Musical",1965,tt0059654,4.9,164,
"I Love Cinema",movie,"Comedy, Drama",2004,tt0419473,6.6,1534,
"Mowaten we mokhber we haramy",movie,"Comedy, Drama, Musical",2001,tt0323303,6.1,757,
"Awqat faragh",movie,Drama,2006,tt1042242,6.9,762,
"An Educational Film",movie,Comedy,2000,tt1400508,7.3,1931,
"Way Upstream",movie,"Comedy, Drama, Horror",1987,tt0168249,5.4,200,
"The Other Woman",movie,"Comedy, Romance",2014,tt2203939,6,156579,
"It's All Over Town",movie,Musical,1964,tt0196648,5.3,86,
"Boomerang Family",movie,"Comedy, Drama",2013,tt2969506,6.5,355,
"Lone Survivor",movie,"Action, Biography, Drama",2013,tt1091191,7.5,315463,
"Viva Belarus!",movie,"Biography, Drama",2013,tt2723138,6.5,394,
"You'll See Me Returning",movie,"Comedy, Musical, Romance",1966,tt0060692,5.4,59,
"Jeans and T-shirt",movie,"Comedy, Musical, Romance",1983,tt0085751,4.1,167,
"The World's Gold",movie,"Comedy, Musical, Romance",1967,tt0138650,5,158,
"Blind Detective",movie,"Action, Comedy, Crime",2013,tt2332707,6.4,3804,
Formentera,movie,Drama,2012,tt1990232,5.4,171,
Marsal,movie,Comedy,1999,tt0227034,7.2,2086,
"The Sign of the City",movie,Drama,2007,tt1119162,6.1,306,
"Il padre di famiglia",movie,"Comedy, Drama",1967,tt0063406,6.7,321,
Neighbors,movie,Comedy,2014,tt2004420,6.3,337764,
Homerun,movie,"Drama, Family",2003,tt0356696,6.6,426,
"A Wedding Invitation",movie,"Drama, Romance",2013,tt2910520,6,543,
"Department Q: The Keeper of Lost Causes",movie,"Crime, Drama, Mystery",2013,tt2438644,7.2,34460,
"Easy Money III: Life Deluxe",movie,"Crime, Drama, Thriller",2013,tt2427502,6.2,6366,
"Piata pora roku",movie,Drama,2012,tt2209414,6.3,226,
"The Disco",movie,"Comedy, Musical, Romance",1983,tt0085443,4.2,107,
"Les Misérables: The History of the World's Greatest Story",movie,Documentary,2013,tt3043286,5.9,52,
"American Dreams in China",movie,"Comedy, Drama",2013,tt2278392,6.9,3009,
Switch,movie,"Action, Adventure, Crime",2013,tt2460488,2.2,2038,
"Do You Know This Voice?",movie,"Crime, Drama, Mystery",1964,tt0058021,6.7,419,
"Dear Wife",movie,Comedy,1977,tt0160108,5.6,128,
"Marias menn",movie,"Comedy, Drama",2006,tt0879833,5.6,168,
Annie,movie,"Comedy, Drama, Family",2014,tt1823664,5.4,42159,
"Weekend, Italian Style",movie,Comedy,1965,tt0060813,6.4,493,
Hattrick,movie,"Comedy, Drama, Romance",2007,tt0979891,4.3,540,
"A Friend of Vincent",movie,"Comedy, Drama, Music",1983,tt0085158,6.1,292,
"50 to 1",movie,Drama,2014,tt1777595,6.3,2367,
"Strange Voices",movie,Drama,1987,tt0094052,6.2,452,
"The Connection",movie,"Action, Crime, Thriller",2014,tt2935564,7.1,12838,
Miracle,movie,Drama,1982,tt0125144,7.9,1004,
"That Guy from the Stands",movie,"Comedy, Musical, Sport",1987,tt0093809,4.4,133,
"Fröken Chic",movie,Comedy,1959,tt0052831,5.6,192,
Evidence,movie,"Crime, Horror, Mystery",2013,tt1828970,5.3,8016,
"Begin Again",movie,"Comedy, Drama, Music",2013,tt1980929,7.4,171829,
Blitzpatrollie,movie,"Action, Comedy, Crime",2013,tt2336284,5.2,183,
"A Happy Divorce",movie,Drama,1975,tt0125384,5.3,92,
Teppanyaki,movie,"Comedy, Romance",1984,tt0088268,5.8,233,
Loot,movie,"Comedy, Crime",1970,tt0066002,5.4,666,
"Between Valleys",movie,Drama,2012,tt2390460,6.9,93,
Fukrey,movie,"Comedy, Drama, Romance",2013,tt2806788,6.9,13832,
"The Flute and the Arrow",movie,"Adventure, Documentary, Drama",1957,tt0050321,6.7,136,
"Dance Dance Dragon",movie,Comedy,2012,tt2190237,5.4,37,
"The Kids from the Port",movie,"Adventure, Drama, History",2013,tt2802172,5.7,90,
"Sherina's Adventure",movie,"Adventure, Comedy, Drama",2000,tt0274716,7.8,1120,
"The Frozen Ground",movie,"Biography, Crime, Drama",2013,tt2005374,6.4,70778,
"Ee Rojullo",movie,"Comedy, Romance",2012,tt2391817,5.5,165,
"Secretly Greatly",movie,"Action, Comedy, Drama",2013,tt2967578,6.8,5497,
Al-saher,movie,"Comedy, Drama",2001,tt0347927,5.2,540,
"Lump of Sugar",movie,"Drama, Romance",2006,tt0438986,6.4,254,
"Mig äger ingen",movie,Drama,2013,tt2196017,6.8,2565,
Thammudu,movie,"Action, Drama, Sport",1999,tt0240084,7.9,3690,
Homeland,movie,"Comedy, Drama",2013,tt2844994,6.2,717,
"Mekhong Full Moon Party",movie,"Comedy, Drama",2002,tt0352575,7.3,352,
"Lost and Found",movie,Drama,2005,tt0386565,5.4,169,
"The Mole Song: Undercover Agent Reiji",movie,"Action, Comedy, Crime",2013,tt2643394,6.5,1117,
"The Outsider",movie,"Crime, Drama, Thriller",2018,tt2011311,6.3,30586,
Flu,movie,"Action, Crime, Drama",2013,tt2351310,6.6,15275,
Regina,movie,Drama,2012,tt2432744,6.6,7,
"Draft Day",movie,"Drama, Sport",2014,tt2223990,6.8,70553,
"Jail Breakers",movie,Comedy,2002,tt0333528,6.2,454,
"Love, Rosie",movie,"Comedy, Romance",2014,tt1638002,7.1,162509,
"Behind the Mask",movie,Drama,1958,tt0051405,6.1,346,
Fonzy,movie,Comedy,2013,tt3077818,5.3,672,
"Plum Blossom",movie,"Drama, Romance",2000,tt0266855,5.9,362,
Blackhat,movie,"Action, Crime, Thriller",2015,tt2717822,5.5,65999,
"Blue Exorcist: The Movie",movie,"Action, Adventure, Animation",2012,tt3028018,7.1,2660,
"Late Bloomers",movie,"Comedy, Drama, Romance",1996,tt0116834,6,621,
"Life of a King",movie,Drama,2013,tt2708254,6.9,8799,
"Storia di fifa e di coltello - Er seguito d'er più",movie,Comedy,1972,tt0126082,5.6,111,
"Nightmare in Columbia County",movie,"Crime, Drama, Thriller",1991,tt0102537,5.7,429,
"Of Good Report",movie,"Crime, Drama, Thriller",2013,tt2736074,6.3,371,
"I Am Happiness on Earth",movie,Drama,2014,tt2871256,4.5,1160,
"Coral Reef 3D: Magic of the Indo Pacific",movie,Documentary,2013,tt4637338,8,12,
"5 cm",movie,"Adventure, Drama, Romance",2012,tt2713324,7.2,2733,
"My Mom Is a Character",movie,Comedy,2013,tt2464018,6.9,6394,
"Der Wadenmesser",movie,Documentary,2005,tt0432192,5.8,41,
"The High Command",movie,"Crime, Drama, War",1937,tt0027741,6,211,
"Quiet Victory: The Charlie Wedemeyer Story",movie,Drama,1988,tt0095945,6.7,189,
Marighella,movie,"Biography, Documentary",2012,tt2357958,4.7,3496,
"The Man from U.N.C.L.E.",movie,"Action, Adventure, Comedy",2015,tt1638355,7.2,346691,
"The Bespoke Overcoat",movie,"Drama, Fantasy, Short",1955,tt0049000,7.1,535,
Homefront,movie,"Action, Crime, Thriller",2013,tt2312718,6.5,135933,
"Killer Toon",movie,"Horror, Thriller",2013,tt2973516,6.2,2366,
"HK: Forbidden Super Hero",movie,"Action, Comedy, Fantasy",2013,tt2708764,5.8,2853,
"La Once",movie,Documentary,2014,tt4147684,7.5,609,
"Cold Eyes",movie,"Action, Crime, Thriller",2013,tt2969656,7.1,8851,
"You Are Always in My Mind",movie,"Comedy, Musical",1969,tt0158078,5.4,73,
"Belle & Sebastian",movie,"Adventure, Drama, Family",2013,tt3146360,6.9,5837,
"Grand départ",movie,"Comedy, Drama",2013,tt2361110,5.6,173,
"Midsummer's Equation",movie,Mystery,2013,tt2412556,6.6,1277,
"Candlelight in Algeria",movie,"Drama, Mystery, War",1943,tt0036693,6.2,528,
"Anything for Alice",movie,"Comedy, Romance",2014,tt2442502,5.4,571,
"Hunting Elephants",movie,"Comedy, Crime, Drama",2013,tt2295196,6.3,1210,
"La visa loca",movie,Comedy,2005,tt0442403,6.1,101,
"Before I Go to Sleep",movie,"Drama, Mystery, Thriller",2014,tt1726592,6.3,86926,
"Four Sisters and a Wedding",movie,"Comedy, Drama",2013,tt3008034,7.3,1094,
Amrapali,movie,"Fantasy, History",1966,tt0060104,6.6,302,
Philomena,movie,"Biography, Comedy, Drama",2013,tt2431286,7.6,105634,
Sharknado,movie,"Action, Adventure, Comedy",2013,tt2724064,3.3,54628,
"Défense de savoir",movie,"Crime, Drama, Thriller",1973,tt0071451,5.7,199,
"Gods of Egypt",movie,"Action, Adventure, Drama",2016,tt2404233,5.4,130931,
"The Judge",movie,"Crime, Drama, Mystery",2014,tt1872194,7.4,213531,
"The Imitation Game",movie,"Biography, Drama, Thriller",2014,tt2084970,8,852571,
"In the Heart of the Sea",movie,"Action, Adventure, Biography",2015,tt1390411,6.9,155071,
Papusza,movie,"Biography, Drama",2013,tt2719094,7.4,1448,
Boomerang,movie,"Crime, Drama",1976,tt0074333,6.2,784,
"Man at the Top",movie,Drama,1973,tt0073342,5.2,217,
"The Last Five Years",movie,"Comedy, Drama, Musical",2014,tt2474024,5.9,11033,
Boundary,movie,Documentary,2013,tt2768780,7.4,31,
"Chinese Puzzle",movie,"Comedy, Drama, Romance",2013,tt1937118,6.9,15567,
Predestination,movie,"Action, Drama, Sci-Fi",2014,tt2397535,7.4,321857,
"I'll Sell My Skin Dearly",movie,Western,1968,tt0215321,5.5,378,
Lazzarella,movie,"Comedy, Drama, Musical",1957,tt0050628,5.9,140,
"Les galets d'Étretat",movie,"Drama, Romance, Thriller",1972,tt0164606,4.9,102,
"Monsieur Robinson Crusoe",movie,Comedy,1960,tt0052895,3.5,72,
"Angeli senza paradiso",movie,"Drama, History, Music",1970,tt0204821,5.2,125,
"The Loves of Joanna Godden",movie,"Drama, Romance",1947,tt0039587,6.7,226,
"Kingsman: The Secret Service",movie,"Action, Adventure, Comedy",2014,tt2802144,7.7,751655,
"Chi è senza peccato....",movie,"Drama, Romance",1952,tt0044495,6,180,
"I Spit on Your Grave 2",movie,"Horror, Thriller",2013,tt2537176,5.7,34673,
Inferno,movie,"Action, Adventure, Crime",2016,tt3062096,6.2,195988,
"The Conmen in Vegas",movie,Comedy,1999,tt0208871,5.5,621,
"Not Now, Comrade",movie,Comedy,1976,tt0074977,5,235,
"Oro, Plata, Mata",movie,"Drama, War",1982,tt0086056,7.7,699,
"A Triumph of the Heart: The Ricky Bell Story",movie,"Biography, Drama, Sport",1991,tt0103123,7.2,290,
"Strawberry Night",movie,"Crime, Thriller",2013,tt2322601,6.2,310,
"Salt & Gold",movie,"Adventure, Comedy, Family",1983,tt0171765,6.8,498,
"Bonnie Prince Charlie",movie,"Biography, Drama, History",1948,tt0040183,5.2,348,
"Neapolitan Boy in New York",movie,"Drama, Musical, Romance",1984,tt0088068,5.3,90,
"Save the Children",movie,"Documentary, Music",1973,tt0128454,7.1,144,
"All for Love",movie,"Comedy, Drama, Romance",2005,tt0479724,6.7,335,
"Mezzanotte d'amore",movie,"Musical, Romance",1970,tt0138609,5.3,60,
