title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1427702,
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,439172,
"High Fidelity",movie,"Comedy, Drama, Music",2000,tt0146882,7.4,194947,
"King Kong",movie,"Adventure, Horror",1933,tt0024216,7.9,93625,
"About a Boy",movie,"Comedy, Drama, Romance",2002,tt0276751,7.1,196029,
"Pocketful of Miracles",movie,"Comedy, Drama",1961,tt0055312,7.1,8378,
"In China They Eat Dogs",movie,"Action, Comedy, Crime",1999,tt0180748,7.3,23826,
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,247693,
"King Kong",movie,"Action, Adventure, Romance",2005,tt0360717,7.2,459161,
"Stolen Kisses",movie,"Comedy, Drama, Romance",1968,tt0062695,7.5,15942,
"Antoine and Colette",movie,"Comedy, Drama, Romance",1962,tt1180329,7.5,6766,
"Bed & Board",movie,"Comedy, Drama, Romance",1970,tt0065651,7.4,11105,
"Love on the Run",movie,"Comedy, Drama, Romance",1979,tt0078771,7,7834,
Contempt,movie,"Drama, Romance",1963,tt0057345,7.4,37422,
"Live Flesh",movie,Drama,1997,tt0118819,7.3,34760,
Breathless,movie,"Crime, Drama",1960,tt0053472,7.7,91049,
"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1231396,
"The Apartment",movie,"Comedy, Drama, Romance",1960,tt0053604,8.3,208710,
"Swimming Pool",movie,"Crime, Drama, Mystery",2003,tt0324133,6.7,49976,
"Beverly Hills Cop III",movie,"Action, Comedy, Crime",1994,tt0109254,5.5,97471,
"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,32053,
"The Celebration",movie,Drama,1998,tt0154420,8,97564,
"Once Upon a Time in America",movie,"Crime, Drama",1984,tt0087843,8.3,394728,
"Snow Cake",movie,"Drama, Romance",2006,tt0448124,7.4,13597,
"The Million Dollar Hotel",movie,"Drama, Mystery, Thriller",2000,tt0120753,5.7,22876,
Insomnia,movie,"Drama, Mystery, Thriller",2002,tt0278504,7.2,329674,
